new_id	raw_dataset_id
0	2
1	3
2	4
3	5
4	6
5	7
6	8
7	10
8	11
9	12
10	13
11	14
12	15
13	16
14	17
15	18
16	19
17	20
18	21
19	22
20	23
21	24
22	25
23	26
24	27
25	28
26	29
27	30
28	31
29	32
30	34
31	35
32	36
33	38
34	39
35	40
36	41
37	42
38	43
39	44
40	45
41	46
42	47
43	48
44	49
45	50
46	52
47	53
48	54
49	55
50	57
51	60
52	61
53	62
54	63
55	64
56	65
57	66
58	68
59	69
60	70
61	71
62	72
63	74
64	75
65	76
66	78
67	79
68	81
69	82
70	84
71	86
72	87
73	88
74	89
75	90
76	92
77	93
78	94
79	95
80	96
81	98
82	99
83	100
84	101
85	102
86	103
87	104
88	105
89	107
90	108
91	110
92	111
93	113
94	114
95	116
96	117
97	118
98	119
99	121
100	122
101	125
102	126
103	129
104	131
105	132
106	135
107	137
108	141
109	144
110	145
111	146
112	147
113	148
114	149
115	150
116	151
117	152
118	153
119	154
120	155
121	156
122	157
123	158
124	159
125	160
126	161
127	162
128	163
129	164
130	165
131	166
132	167
133	168
134	169
135	170
136	171
137	172
138	173
139	174
140	175
141	176
142	177
143	178
144	179
145	180
146	181
147	182
148	183
149	184
150	185
151	186
152	187
153	188
154	189
155	190
156	191
157	193
158	194
159	195
160	196
161	197
162	198
163	199
164	200
165	201
166	202
167	203
168	204
169	205
170	206
171	207
172	208
173	209
174	211
175	212
176	213
177	215
178	216
179	217
180	218
181	219
182	220
183	222
184	223
185	224
186	225
187	227
188	228
189	229
190	230
191	231
192	233
193	234
194	235
195	236
196	237
197	238
198	239
199	240
200	241
201	242
202	243
203	244
204	245
205	246
206	247
207	248
208	249
209	250
210	251
211	252
212	253
213	254
214	255
215	256
216	257
217	258
218	259
219	260
220	261
221	263
222	265
223	266
224	267
225	268
226	270
227	271
228	272
229	273
230	274
231	275
232	276
233	277
234	278
235	279
236	280
237	281
238	282
239	283
240	288
241	289
242	290
243	291
244	292
245	294
246	295
247	296
248	297
249	298
250	299
251	300
252	301
253	303
254	304
255	306
256	307
257	308
258	309
259	310
260	312
261	313
262	314
263	315
264	316
265	317
266	318
267	319
268	320
269	322
270	324
271	325
272	326
273	327
274	328
275	329
276	330
277	331
278	332
279	333
280	334
281	335
282	336
283	337
284	338
285	340
286	341
287	342
288	343
289	344
290	345
291	346
292	347
293	348
294	349
295	350
296	351
297	352
298	353
299	354
300	355
301	356
302	357
303	358
304	359
305	361
306	364
307	365
308	366
309	367
310	368
311	369
312	371
313	372
314	373
315	374
316	375
317	376
318	377
319	378
320	379
321	380
322	381
323	382
324	383
325	384
326	385
327	386
328	387
329	388
330	390
331	391
332	392
333	393
334	394
335	405
336	407
337	408
338	409
339	410
340	411
341	412
342	413
343	414
344	415
345	416
346	417
347	418
348	419
349	420
350	421
351	422
352	423
353	424
354	425
355	426
356	427
357	428
358	429
359	431
360	432
361	433
362	434
363	435
364	436
365	438
366	440
367	442
368	443
369	444
370	445
371	446
372	447
373	448
374	449
375	450
376	451
377	452
378	453
379	454
380	455
381	456
382	457
383	458
384	459
385	460
386	461
387	462
388	463
389	464
390	465
391	466
392	467
393	468
394	469
395	470
396	471
397	472
398	473
399	474
400	476
401	477
402	478
403	479
404	480
405	481
406	482
407	483
408	484
409	485
410	486
411	487
412	488
413	489
414	490
415	491
416	492
417	493
418	494
419	495
420	496
421	497
422	498
423	499
424	500
425	501
426	502
427	503
428	504
429	505
430	506
431	507
432	508
433	509
434	510
435	511
436	513
437	514
438	515
439	516
440	517
441	518
442	519
443	520
444	521
445	522
446	523
447	524
448	525
449	527
450	528
451	529
452	531
453	532
454	533
455	535
456	536
457	537
458	538
459	539
460	540
461	541
462	542
463	543
464	544
465	546
466	547
467	548
468	549
469	550
470	551
471	552
472	554
473	555
474	556
475	558
476	559
477	562
478	563
479	564
480	565
481	566
482	567
483	568
484	569
485	574
486	575
487	577
488	580
489	581
490	583
491	585
492	586
493	587
494	588
495	589
496	590
497	592
498	593
499	594
500	595
501	596
502	597
503	599
504	600
505	602
506	603
507	605
508	606
509	609
510	610
511	611
512	612
513	613
514	614
515	615
516	616
517	618
518	621
519	626
520	627
521	628
522	630
523	631
524	633
525	635
526	637
527	638
528	639
529	640
530	645
531	647
532	648
533	650
534	653
535	656
536	659
537	661
538	662
539	663
540	664
541	665
542	667
543	668
544	669
545	671
546	673
547	674
548	680
549	685
550	688
551	691
552	692
553	694
554	695
555	697
556	698
557	700
558	702
559	704
560	707
561	708
562	709
563	710
564	711
565	714
566	716
567	718
568	719
569	720
570	724
571	725
572	728
573	731
574	732
575	733
576	736
577	737
578	742
579	743
580	745
581	746
